"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Login into cucumber page should show the project page","ERROR","2020-05-30T03:07:54.3038172+07:00[Asia/Saigon]","0.0","1.08"
"Search by keyword story","Search results should show the search term in the title","SUCCESS","2020-05-30T03:07:56.6148521+07:00[Asia/Saigon]","0.0","16.68"
